EmployeeID,FullName,Title,Department,Section,Email,StartDate,ManagerEmployeeID
E014660,Roy Aufderhar,Brand Manager,Marketing,Brand,roy.aufderhar@company.com,2019-11-08,E308909
E627557,Tommie Greenfelder,Marketing Manager,Marketing,Brand,tommie.greenfelder@company.com,2021-01-21,E308909
E420746,Ronnie Emard,Brand Manager,Marketing,Brand,ronnie.emard@company.com,2020-10-04,E308909
E770788,Wallace Hermiston,Brand Manager,Marketing,Brand,wallace.hermiston@company.com,2018-06-29,E308909
E632997,Dr. Anne Zemlak,Brand Manager,Marketing,Brand,dr..zemlak@company.com,2019-07-17,E308909
E662790,Jamie Conn,Content Manager,Marketing,Digital Marketing,jamie.conn@company.com,2022-07-26,E573613
E681055,Angie MacGyver PhD,Brand Manager,Marketing,Digital Marketing,angie.phd@company.com,2022-12-06,E573613
E448427,Judith Blick,Marketing Manager,Marketing,Digital Marketing,judith.blick@company.com,2018-03-22,E573613
E084704,Duane Botsford,Brand Manager,Marketing,Digital Marketing,duane.botsford@company.com,2018-04-22,E573613
E589302,Dr. Terrance Nitzsche,Content Manager,Marketing,Digital Marketing,dr..nitzsche@company.com,2019-12-10,E573613
E313199,Noah Waelchi,Regional Sales Manager,Sales,Inside Sales,noah.waelchi@company.com,2022-12-01,E843220
E566915,Robin Cummerata-Veum,Regional Sales Manager,Sales,Inside Sales,robin.cummerata-veum@company.com,2020-02-03,E843220
E543905,Angel Bernhard Sr.,Account Manager,Sales,Inside Sales,angel.sr.@company.com,2019-07-02,E843220
E185992,Roberta Terry,Sales Manager,Sales,Sales Operations,roberta.terry@company.com,2020-02-12,E332565
E873180,Mildred Stiedemann,Sales Manager,Sales,Sales Operations,mildred.stiedemann@company.com,2022-06-14,E332565
E940886,Jeanne Mohr,Regional Sales Manager,Sales,Sales Operations,jeanne.mohr@company.com,2019-03-14,E332565
E282998,Grant Yost,Finance Manager,Finance,Tax,grant.yost@company.com,2019-11-20,E542958
E189550,Kim Armstrong,Finance Manager,Finance,Tax,kim.armstrong@company.com,2021-03-02,E542958
E909720,Eleanor Simonis-Abshire,Accounting Manager,Finance,Tax,eleanor.simonis-abshire@company.com,2023-09-29,E542958
E155015,Brenda Prohaska-Dibbert,Finance Manager,Finance,FP&A,brenda.prohaska-dibbert@company.com,2018-06-03,E023516
E506570,Dr. Rolando Schinner,Finance Manager,Finance,FP&A,dr..schinner@company.com,2021-11-19,E023516
E472669,Ms. Maggie Runolfsson,Accounting Manager,Finance,FP&A,ms..runolfsson@company.com,2020-11-11,E023516
E074690,Dorothy Kirlin,Accounting Manager,Finance,FP&A,dorothy.kirlin@company.com,2018-08-19,E023516
E718169,Jackie Bernier,Accounting Manager,Finance,FP&A,jackie.bernier@company.com,2019-01-25,E023516
E874261,Mr. Morris Kilback,Finance Manager,Finance,Tax,mr..kilback@company.com,2019-06-12,E936416
E467967,Kristen Bradtke,Finance Manager,Finance,Tax,kristen.bradtke@company.com,2018-03-24,E936416
E859446,Lillian Jast,Treasury Manager,Finance,Tax,lillian.jast@company.com,2022-08-13,E936416
E480723,Eva Leffler,Finance Manager,Finance,Tax,eva.leffler@company.com,2020-01-26,E936416
E820865,Kristine Stark IV,Finance Manager,Finance,Tax,kristine.iv@company.com,2018-06-13,E936416
E061632,Ana Hintz,HR Manager,Human Resources,Talent Acquisition,ana.hintz@company.com,2023-06-14,E412317
E947585,Erik Murazik-Bailey,L&D Manager,Human Resources,Talent Acquisition,erik.murazik-bailey@company.com,2019-10-05,E412317
E831200,Lynda Schmeler,HR Manager,Human Resources,Talent Acquisition,lynda.schmeler@company.com,2021-10-23,E412317
E902414,Dolores Romaguera,L&D Manager,Human Resources,Talent Acquisition,dolores.romaguera@company.com,2021-07-29,E412317
E041473,Glenn Jacobi,L&D Manager,Human Resources,Talent Acquisition,glenn.jacobi@company.com,2020-02-07,E769105
E774112,Elvira Gleichner,L&D Manager,Human Resources,Talent Acquisition,elvira.gleichner@company.com,2020-05-27,E769105
E899024,Ricardo Skiles,HR Manager,Human Resources,Talent Acquisition,ricardo.skiles@company.com,2018-02-22,E769105
E771156,Ignacio Romaguera,L&D Manager,Human Resources,Talent Acquisition,ignacio.romaguera@company.com,2023-09-15,E769105
E023790,Jacqueline Bins,HR Manager,Human Resources,Talent Acquisition,jacqueline.bins@company.com,2022-05-04,E769105
E546505,Stella Ritchie,Facilities Manager,Operations,Customer Operations,stella.ritchie@company.com,2020-09-14,E314332
E944404,Mr. Jessie Kling MD,IT Manager,Operations,Customer Operations,mr..md@company.com,2018-01-28,E314332
E453905,Sean Lueilwitz,Facilities Manager,Operations,Customer Operations,sean.lueilwitz@company.com,2018-12-20,E314332
E050883,Carl Towne,Facilities Manager,Operations,Customer Operations,carl.towne@company.com,2023-09-15,E314332
E460321,Mrs. Amy Hoppe,Operations Manager,Operations,Customer Operations,mrs..hoppe@company.com,2020-05-20,E314332
E044310,Irene Legros,Facilities Manager,Operations,Business Operations,irene.legros@company.com,2023-09-30,E459306
E717033,Cora Kovacek,Operations Manager,Operations,Business Operations,cora.kovacek@company.com,2023-07-21,E459306
E135555,Herman Bernier DVM,IT Manager,Operations,Business Operations,herman.dvm@company.com,2021-07-07,E459306
E988981,Ms. Kari Windler,IT Manager,Operations,Business Operations,ms..windler@company.com,2020-04-29,E459306
E393004,Alexander Morissette,Legal Manager,Legal,Contracts,alexander.morissette@company.com,2023-08-26,E119608
E927582,Candace Baumbach,Contract Manager,Legal,Contracts,candace.baumbach@company.com,2021-04-23,E119608
E410691,Laverne Lockman,Legal Manager,Legal,Contracts,laverne.lockman@company.com,2019-07-10,E119608
E543947,Gayle Olson,Compliance Manager,Legal,Contracts,gayle.olson@company.com,2020-11-29,E119608
E637539,Gilberto Swaniawski,Compliance Manager,Legal,Contracts,gilberto.swaniawski@company.com,2018-10-17,E119608
E731274,Chelsea Metz,Legal Manager,Legal,Corporate,chelsea.metz@company.com,2022-11-09,E287377
E313719,Camille Osinski,Legal Manager,Legal,Corporate,camille.osinski@company.com,2022-03-18,E287377
E652020,Taylor Bins,Contract Manager,Legal,Corporate,taylor.bins@company.com,2018-10-05,E287377
E741730,Elias Harris,Legal Manager,Legal,Corporate,elias.harris@company.com,2021-07-30,E287377
E905272,Chelsea Bashirian,Support Manager,Customer Support,Customer Success,chelsea.bashirian@company.com,2022-10-01,E157081
E983845,Darren Predovic,Support Manager,Customer Support,Customer Success,darren.predovic@company.com,2019-01-23,E157081
E963695,Ramona Lakin,Support Manager,Customer Support,Customer Success,ramona.lakin@company.com,2023-07-18,E157081
E288211,Shawna Block,Support Manager,Customer Support,Customer Success,shawna.block@company.com,2019-04-17,E157081
E338731,Mr. Frank Kemmer,Customer Success Manager,Customer Support,Customer Experience,mr..kemmer@company.com,2020-05-03,E616101
E103682,Francisco Daugherty,Team Lead,Customer Support,Customer Experience,francisco.daugherty@company.com,2019-08-31,E616101
E082852,Joanna Gibson,Support Manager,Customer Support,Customer Experience,joanna.gibson@company.com,2022-12-28,E616101
E435827,Guillermo Thiel,Team Lead,Customer Support,Customer Experience,guillermo.thiel@company.com,2018-11-26,E616101
E340160,Mathew Greenholt Sr.,Customer Success Manager,Customer Support,Training,mathew.sr.@company.com,2023-04-07,E450794
E759450,Vickie Ziemann,Team Lead,Customer Support,Training,vickie.ziemann@company.com,2020-04-20,E450794
E239584,Joey Kovacek,Support Manager,Customer Support,Training,joey.kovacek@company.com,2019-11-09,E450794
E845329,Elsa MacGyver,Customer Success Manager,Customer Support,Training,elsa.macgyver@company.com,2019-03-31,E450794
E981637,Lynda Hegmann,Support Manager,Customer Support,Customer Success,lynda.hegmann@company.com,2023-09-15,E415320
E775021,Otis Kuhlman,Support Manager,Customer Support,Customer Success,otis.kuhlman@company.com,2022-02-05,E415320
E428266,Mr. Toby Ebert,Team Lead,Customer Support,Customer Success,mr..ebert@company.com,2021-07-17,E415320
E694643,Alfonso O'Keefe,Regional Sales Manager,Sales,Channel,alfonso.o'keefe@company.com,2021-11-11,E498409
E071976,Joyce Reilly,Regional Sales Manager,Sales,Channel,joyce.reilly@company.com,2020-10-29,E498409
E517345,Horace Lakin,Sales Manager,Sales,Channel,horace.lakin@company.com,2022-05-23,E498409
E182592,Valerie Sauer IV,Sales Manager,Sales,Sales Operations,valerie.iv@company.com,2020-07-16,E241074
E395453,Dana Kshlerin,Sales Manager,Sales,Sales Operations,dana.kshlerin@company.com,2019-02-21,E241074
E865076,Kelvin Grady,Sales Manager,Sales,Sales Operations,kelvin.grady@company.com,2021-11-21,E241074
E270166,Diane Senger,Account Manager,Sales,Sales Operations,diane.senger@company.com,2021-12-21,E241074
E751612,Jerry Runte,Regional Sales Manager,Sales,Sales Operations,jerry.runte@company.com,2019-06-21,E241074
E885984,Olive Stark,Sales Manager,Sales,Channel,olive.stark@company.com,2020-09-24,E158360
E318391,Krystal Kirlin,Regional Sales Manager,Sales,Channel,krystal.kirlin@company.com,2022-12-06,E158360
E820040,Claude Fahey,Account Manager,Sales,Channel,claude.fahey@company.com,2018-01-08,E158360
E258024,Pearl Gerhold,Regional Sales Manager,Sales,Channel,pearl.gerhold@company.com,2019-12-20,E158360
E445040,Jodi Rice V,Sales Manager,Sales,Channel,jodi.v@company.com,2023-07-24,E158360
E606212,Mr. Roy Armstrong,Regional Sales Manager,Sales,SMB,mr..armstrong@company.com,2022-07-26,E121865
E487504,Genevieve Rice,Sales Manager,Sales,SMB,genevieve.rice@company.com,2020-01-01,E121865
E013812,Joanna Maggio,Account Manager,Sales,SMB,joanna.maggio@company.com,2021-12-04,E121865
E595374,Saul Cole,Regional Sales Manager,Sales,SMB,saul.cole@company.com,2022-01-04,E121865
E283384,Dr. Antoinette Brekke,Engineering Manager,Engineering,QA,dr..brekke@company.com,2023-01-06,E766741
E389627,Garrett Nader,Technical Lead,Engineering,QA,garrett.nader@company.com,2020-05-18,E766741
E064317,Elsie Windler,Engineering Manager,Engineering,QA,elsie.windler@company.com,2021-11-21,E766741
E554049,Sonia Hermiston,Technical Lead,Engineering,Frontend,sonia.hermiston@company.com,2019-09-02,E070207
E864782,Winston Kuhn,Technical Lead,Engineering,Frontend,winston.kuhn@company.com,2020-08-14,E070207
E858182,Christie Ebert,Technical Lead,Engineering,Frontend,christie.ebert@company.com,2021-05-04,E070207
E309995,Patricia Gibson,Engineering Manager,Engineering,Frontend,patricia.gibson@company.com,2018-07-29,E070207
E737474,Edwin Hermiston,Sales Manager,Sales,SMB,edwin.hermiston@company.com,2020-09-18,E960776
E689877,Ms. Lindsey Champlin V,Sales Manager,Sales,SMB,ms..v@company.com,2020-05-04,E960776
E802361,Shirley Cormier,Sales Manager,Sales,SMB,shirley.cormier@company.com,2023-06-23,E960776
E366878,Johnnie Ward,Sales Manager,Sales,SMB,johnnie.ward@company.com,2023-01-22,E960776
E355166,Jessie Witting,Account Manager,Sales,SMB,jessie.witting@company.com,2022-01-14,E960776
E708459,Rodolfo Rogahn,Regional Sales Manager,Sales,Sales Operations,rodolfo.rogahn@company.com,2019-06-25,E055671
E655383,Carlos Ernser V,Account Manager,Sales,Sales Operations,carlos.v@company.com,2018-05-25,E055671
E499657,Mr. Eddie Grimes,Regional Sales Manager,Sales,Sales Operations,mr..grimes@company.com,2022-04-22,E055671
E881428,Santos Rodriguez-Conroy,Regional Sales Manager,Sales,Sales Operations,santos.rodriguez-conroy@company.com,2018-01-23,E670123
E816314,Tami Lowe,Regional Sales Manager,Sales,Sales Operations,tami.lowe@company.com,2020-03-21,E670123
E253889,Carroll Swaniawski,Account Manager,Sales,Sales Operations,carroll.swaniawski@company.com,2021-02-11,E670123
E207920,Georgia Robel,Sales Manager,Sales,Sales Operations,georgia.robel@company.com,2023-04-04,E670123
E370337,Catherine Casper DDS,Support Specialist,Customer Support,Customer Experience,catherine.dds@company.com,2022-08-13,E082852
E726724,Dr. Margie Ebert,Paralegal,Legal,Contracts,dr..ebert@company.com,2024-02-24,E927582
E150336,Brandi Ledner,Senior Software Engineer,Engineering,Frontend,brandi.ledner@company.com,2023-02-26,E554049
E284720,Denise Kulas,QA Engineer,Engineering,QA,denise.kulas@company.com,2023-04-24,E253026
E536010,Dr. Richard Prohaska,Product Designer,Product,Product Management,dr..prohaska@company.com,2025-01-19,E638368
E068422,Mr. Louis Adams,Sales Development Representative,Sales,Sales Operations,mr..adams@company.com,2022-01-12,E751612
E408839,Beulah Zieme DVM,Corporate Counsel,Legal,Contracts,beulah.dvm@company.com,2025-10-18,E543947
E861630,Johnnie McClure,Talent Acquisition Specialist,Human Resources,Talent Acquisition,johnnie.mcclure@company.com,2021-02-05,E902414
E554326,Mrs. Kara Veum MD,Legal Specialist,Legal,Contracts,mrs..md@company.com,2024-11-04,E637539
E562809,Frederick Jacobi,Senior Sales Representative,Sales,Sales Operations,frederick.jacobi@company.com,2022-05-17,E655383
E883870,Guadalupe Emard,Corporate Counsel,Legal,Contracts,guadalupe.emard@company.com,2023-04-25,E637539
E875826,April Funk,Account Executive,Sales,Channel,april.funk@company.com,2024-02-11,E445040
E639124,Wendell Mohr,Content Creator,Marketing,Digital Marketing,wendell.mohr@company.com,2024-04-04,E681055
E891044,Leland Carter II,Sales Development Representative,Sales,Channel,leland.ii@company.com,2022-04-01,E318391
E642110,Francisco Muller,Business Analyst,Operations,Customer Operations,francisco.muller@company.com,2024-04-25,E460321
E330317,Brittany Runolfsson,Product Designer,Product,Product Management,brittany.runolfsson@company.com,2024-05-26,E061166
E961847,Salvador Trantow,Account Executive,Sales,Sales Operations,salvador.trantow@company.com,2020-10-09,E655383
E756355,Dr. Peggy Medhurst,Operations Specialist,Operations,Business Operations,dr..medhurst@company.com,2020-06-22,E044310
E770986,Mr. Jeff Labadie,Social Media Coordinator,Marketing,Brand,mr..labadie@company.com,2025-05-15,E627557
E006202,Melinda Kautzer,HR Coordinator,Human Resources,Talent Acquisition,melinda.kautzer@company.com,2024-12-14,E771156
E930442,Gina Gibson,UI Designer,Product,Product Management,gina.gibson@company.com,2021-11-16,E953733
E487412,Miss Melissa Grant,Business Analyst,Operations,Business Operations,miss.grant@company.com,2020-01-07,E135555
E902928,Cecelia Jaskolski,Customer Support Representative,Customer Support,Customer Success,cecelia.jaskolski@company.com,2024-12-13,E428266
E162228,Brenda Swaniawski,Software Engineer,Engineering,Backend,brenda.swaniawski@company.com,2022-10-13,E191084
E945336,Mr. Wilson Nikolaus,Customer Success Specialist,Customer Support,Customer Experience,mr..nikolaus@company.com,2023-02-24,E103682
E621660,Jeanette Jerde,Product Analyst,Product,Product Analytics,jeanette.jerde@company.com,2021-11-18,E279572
E737530,Ramon Veum,Software Developer,Engineering,QA,ramon.veum@company.com,2024-06-20,E354056
E919247,Marion Sauer-Torphy,Technical Support Engineer,Customer Support,Customer Success,marion.sauer-torphy@company.com,2021-02-18,E775021
E862784,Alejandro Hessel,UX Designer,Product,Product Management,alejandro.hessel@company.com,2022-10-28,E061166
E189883,Mr. Rene Rohan,Junior Software Engineer,Engineering,QA,mr..rohan@company.com,2023-08-17,E943255
E602955,Hilda Conroy,Content Creator,Marketing,Digital Marketing,hilda.conroy@company.com,2025-09-26,E084704
E222352,Alyssa Altenwerth II,Customer Support Representative,Customer Support,Training,alyssa.ii@company.com,2023-06-27,E340160
E186838,Wilbert Ullrich,Social Media Coordinator,Marketing,Brand,wilbert.ullrich@company.com,2025-10-06,E632997
E188933,Ms. Pamela Rosenbaum,Sales Representative,Sales,Channel,ms..rosenbaum@company.com,2023-09-28,E318391
E335635,Tanya Greenfelder,Senior Sales Representative,Sales,Channel,tanya.greenfelder@company.com,2024-09-27,E694643
E242659,Kayla Berge,Support Specialist,Customer Support,Customer Success,kayla.berge@company.com,2023-12-30,E981637
E358515,Phil Skiles,Senior Sales Representative,Sales,SMB,phil.skiles@company.com,2023-11-29,E366878
E233950,Devin Simonis,Sales Representative,Sales,Sales Operations,devin.simonis@company.com,2025-12-27,E253889
E783284,Peggy Hoppe-Will,Payroll Specialist,Finance,FP&A,peggy.hoppe-will@company.com,2024-08-20,E472669
E821994,Jerry Balistreri,Account Executive,Sales,Channel,jerry.balistreri@company.com,2024-08-13,E885984
E871814,Mr. Bennie Ledner III,Software Engineer,Engineering,QA,mr..iii@company.com,2023-09-17,E382751
E526483,Leo Klein,UI Designer,Product,Product Management,leo.klein@company.com,2023-03-02,E953733
E563963,Julia Wisozk,Paralegal,Legal,Contracts,julia.wisozk@company.com,2024-05-13,E410691
E221831,Heidi Jacobi,SEO Specialist,Marketing,Brand,heidi.jacobi@company.com,2024-06-23,E014660
E330022,Ms. Lorene Okuneva,Marketing Specialist,Marketing,Brand,ms..okuneva@company.com,2025-01-17,E627557
E476776,Dale Beier,UX Designer,Product,Product Strategy,dale.beier@company.com,2021-02-10,E774237
E976447,Clay Towne IV,Sales Representative,Sales,Sales Operations,clay.iv@company.com,2020-10-21,E751612
E676842,Raymond Goodwin,Legal Specialist,Legal,Contracts,raymond.goodwin@company.com,2021-01-12,E927582
E772804,Jeffrey Lueilwitz,SEO Specialist,Marketing,Digital Marketing,jeffrey.lueilwitz@company.com,2020-06-27,E084704
E605010,Chris Greenholt,Support Specialist,Customer Support,Customer Success,chris.greenholt@company.com,2025-05-15,E288211
E844706,Leticia Schneider,Support Specialist,Customer Support,Customer Success,leticia.schneider@company.com,2020-12-27,E775021
E004004,Bert Lang MD,Support Specialist,Customer Support,Customer Success,bert.md@company.com,2024-12-22,E981637
E808466,Angela Toy,Legal Specialist,Legal,Contracts,angela.toy@company.com,2021-07-30,E393004
E844948,Dr. Whitney Ryan,Sales Representative,Sales,SMB,dr..ryan@company.com,2025-09-03,E595374
E865823,Ms. Desiree Lesch,UX Designer,Product,Product Analytics,ms..lesch@company.com,2020-06-16,E771476
E471453,Ernesto Johns,Sales Representative,Sales,Channel,ernesto.johns@company.com,2020-02-08,E694643
E397704,Dr. Janie Williamson,Recruiter,Human Resources,Talent Acquisition,dr..williamson@company.com,2024-10-11,E041473
E642849,Bertha Smitham,Senior Sales Representative,Sales,Sales Operations,bertha.smitham@company.com,2024-11-30,E816314
E108350,Abel Fadel,Corporate Counsel,Legal,Corporate,abel.fadel@company.com,2022-02-23,E741730
E281144,Tracy Sipes Sr.,Account Executive,Sales,SMB,tracy.sr.@company.com,2022-04-23,E595374
E405803,Ed O'Conner,Junior Software Engineer,Engineering,QA,ed.o'conner@company.com,2020-02-21,E130389
E766802,Guadalupe Graham IV,UI Designer,Product,Product Management,guadalupe.iv@company.com,2025-12-04,E061166
E443387,Dr. Sheila Runolfsson,Account Executive,Sales,Channel,dr..runolfsson@company.com,2023-05-27,E517345
E262215,Dr. Wm O'Conner,Sales Representative,Sales,SMB,dr..o'conner@company.com,2025-03-11,E355166
E338393,Adrian Stamm,Product Analyst,Product,Product Management,adrian.stamm@company.com,2022-10-10,E061166
E125624,Rudy Gutkowski,Sales Development Representative,Sales,Sales Operations,rudy.gutkowski@company.com,2020-11-27,E881428
E205181,Miss Lora Erdman,Junior Software Engineer,Engineering,Frontend,miss.erdman@company.com,2024-09-09,E858182
E639839,Fredrick Hamill,Sales Representative,Sales,SMB,fredrick.hamill@company.com,2022-11-22,E487504
E517611,Doyle Satterfield,Accountant,Finance,Tax,doyle.satterfield@company.com,2021-09-12,E874261
E764237,Jacqueline Wisoky II,Technical Support Engineer,Customer Support,Customer Success,jacqueline.ii@company.com,2025-08-23,E288211
E336750,Ashley Osinski,Junior Software Engineer,Engineering,QA,ashley.osinski@company.com,2022-10-20,E305490
E609649,Armando Windler,Sales Development Representative,Sales,Sales Operations,armando.windler@company.com,2024-02-06,E270166
E918589,Laverne Lang,Support Specialist,Customer Support,Customer Experience,laverne.lang@company.com,2024-09-08,E082852
E448593,Dorothy Lowe,Paralegal,Legal,Corporate,dorothy.lowe@company.com,2025-05-03,E731274
E981285,Wanda Dach,Account Executive,Sales,Channel,wanda.dach@company.com,2025-06-30,E694643
E471782,Janice Graham,Social Media Coordinator,Marketing,Digital Marketing,janice.graham@company.com,2025-01-03,E662790
E891187,Amelia Rosenbaum,Customer Success Specialist,Customer Support,Customer Success,amelia.rosenbaum@company.com,2021-05-07,E775021
E545174,Dianne Stiedemann,Sales Development Representative,Sales,SMB,dianne.stiedemann@company.com,2025-06-19,E737474
